,text,text_clean
8302,"140. EJ. E· pp. 88-91. F - pp. 103-106, G 
",ej e pp f pp g
8303,"pp.95-97. 
",pp
8304,"141. EJ, E - p. 90. F - p. 106. G - p. 97. 
",ej e p f p g p
8305,"142. Cf. E.!. E 
",cf e e
8306,"p. 90. F - p. 106, G - p. 97. 
",p f p g p
8307,"143. £.1. E - p. 92. F - p. 107, G 
",e p f p g
8308,"144. D. E . pp. 93-94. F - p. 110, G - pp. 101-102. 
",e pp f p g pp
8309,"145. £.1. E - pp. 134-36. F - pp. 157-60. G - pp. 152-54. 
",e pp f pp g pp
8310,"146. £.1, E - p. 137. F - p. 163. G - p. 157. 
",e p f p g p
8311,"147. £.1. E - p. 138, F - p. 163. G - p. 157. 
",e p f p g p
8312,"148. £.1. E - p. 138, F - p. 163. G - p. 158. 
",e p f p g p
8313,"149. £.1. E - p. 138, F - p. 164. G 
",e p f p g
8314,"150. Here we must take account, following Father van Breda, of the idea of a 
",must take account following father van breda idea
8315,"structure of the Lebenswelt, an idea by virtue of which some of OUf criticisms 
",structure lebenswelt idea virtue ouf criticisms
8316,"lose part of their importance. 
",lose part importance
8317,"lSI. E.!, E - p. 139, F - p. 165. G - p. 159. 
",lsi e e p f p g p
8318,"p. 139, F 
",p f
8319,"p. 165, G - p. 160. 
",p g p
8320,"153. £.1. E - pp. 139-40, F·· p. 166. G - p. 160. 
",e pp f p g p
8321,"154. £.1, E - pp. 145-46. F .. p. 173. G - p. 168. 
",e pp f p g p
8322,"155. EJ, E - pp. 149, 152,156. 173-74; F - pp. 177. 180. 185.207; G - pp. 171.174.179, 
",ej e pp f pp g pp
8323,"156. £.1. E - pp. 149, 158-59: F- pp. 177. 188: G - pp. 171. 182. 
",e pp f pp g pp
8324,"p. 150, F - p. 178. G - p. 172. 
",p f p g p
8325,"158. Ibid. 
",ibid
8326,"159. EJ, E - pp. 150-51,157; F - pp. 179,186; G - pp. 173, 180. 
",ej e pp f pp g pp
8327,"160. EJ. E - pp. 174-75, F - p. 208, G - p. 204. 
",ej e pp f p g p
8328,"161. EJ, E - p. 175, F - p. 209, G - p. 205. 
",ej e p f p g p
8329,"162. Ibid. 
",ibid
8330,"163. EJ, E - pp. 158-59, 182; F - pp. 187-88,218; G - pp. 182,214. 
",ej e pp f pp g pp
8331,"164. EJ, E - pp. 188-189, F - p. 226, G - p. 223. 
",ej e pp f p g p
8332,"A LETTER FROM LUDWIG LANDGREBE TO JEAN WAHL* 
",letter ludwig landgrebe jean wahl
8333,"I have read with great pleasure your study of Experienr:e and Judgment. For 
",read great pleasure study experienre judgment
8334,"all the recensions that have appeared until now have been simple book reviews. 
",recensions appeared simple book reviews
8335,"Your study is the first attempt at a real discussion of this work, and the first 
",study first attempt real discussion work first
8336,"attempt to further the thought of the problems which are raised. 
",attempt thought problems raised
8337,"First, concerning the question of knowing to what extent the introduction is 
",first concerning question knowing extent introduction
8338,"an authentic exposition of the thoughts of Husserl, and to what extent it 
",authentic exposition thoughts husserl extent
8339,"presents my interpretation of these thoughts, I would say this: 
",presents interpretation thoughts would say
8340,"The introduction, throughout, elaborates elements drawn from Husserl's 
",introduction throughout elaborates elements drawn husserls
8341,"manuscripts, and from the results of my conversations with him. When you 
",manuscripts results conversations
8342,"underline the fundamental realistic tendency of the work, I can say that this 
",underline fundamental realistic tendency work say
8343,"tendency in no way comes from my interpretation alone. To the contrary, the 
",tendency way comes interpretation alone contrary
8344,"phenomenology of Husserl, on the whole, is run through by this divergence 
",phenomenology husserl whole run divergence
8345,"between his idealistic program, as may be seen above all, in the Ideas and in 
",idealistic program may seen ideas
8346,"the Cartesian Meditations, and the results of his detailed analyses, 
",cartesian meditations results detailed analyses
8347,"particularly those of the last period, which, without his having become clearly 
",particularly last period without become clearly
8348,"conscious of this, break with that program. In my book Phanomenologie 
",conscious break program book phanomenologie
8349,"und Metaphysik, I I have already, frequently, indicated something of this, and 
",und metaphysik already frequently indicated something
8350,"in my new book which will soon appear, Philosophie der Gegenwart,2l apply 
",new book soon appear philosophie der gegenwartl apply
8351,"myself to the presentation of these things in a clearer way. But, as at the 
",presentation things clearer way
8352,"moment of the editing of Experience and Judgment I still held an idealistic 
",moment editing experience judgment still held idealistic
8353,"position, this divergence did not appear clearly to me. This is why the 
",position divergence appear clearly
8354,"developments which have an idealistic tone remain side by side with analyses 
",developments idealistic tone remain side side analyses
8355,"that, in their ultimate results, are irreconcilable with them, without my having 
",ultimate results irreconcilable without
8356,"modified them in any way. But perhaps precisely this absence of 
",modified way perhaps precisely absence
8357,"accommodation between these divergent tendencies gives a more lively image of 
",accommodation divergent tendencies gives lively image
8358,"the tensions which run through H usserl's work, than if an attempt had been 
",tensions run h usserls work attempt
8359,"made to polish the whole, which, moreover, could not be done due to the 
",made polish whole moreover could done due
8360,"material from which I began. In retrospect, it could perhaps be said that 
",material began retrospect could perhaps said
8361,"Husserl's phenomenology had, as an historical function, the triumph of 
",husserls phenomenology historical function triumph
8362,"*Translated by Laurence E. Winters from ""Lettre de M. Landgrebe sur un article de 
",translated laurence e winters lettre de landgrebe sur un article de
8363,"M. Jean Wahl concernant Erfahrung und Urteil de Husserl,"" Revue de metaphysique 
",jean wahl concernant erfahrung und urteil de husserl revue de metaphysique
8364,"et de morale, 57 (1952), pp. 282-83. 
",et de morale pp
8365,"199 
",
8366,"idealism over itself through the efforts to think to the limit a theory which had, 
",idealism efforts think limit theory
8367,"as its starting point, the subject. 
",starting point subject
8368,"In order now not to be too long, I could perhaps limit myself to a 
",order long could perhaps limit
8369,"fundamental problem which your study touches upon from different sides. 
",fundamental problem study touches upon different sides
8370,"This is the problem of the absolute substrate. You say, on page 13 [17 in the 
",problem absolute substrate say page
8371,"French text], that one could see, in the way this concept is determined by 
",french text one could see way concept determined
8372,"H usserl, a phenomenological justification for empiricism. In fact, here lies the 
",h usserl phenomenological justification empiricism fact lies
8373,"key that will permit a response to all the questions which you raise at the end of 
",key permit response questions raise end
8374,"your study. Husserl's return to a pure, immediate, and ultimate experience, a 
",study husserls return pure immediate ultimate experience
8375,"return which, through an abstractive destruction of all the sense givings which 
",return abstractive destruction sense givings
8376,"come from activity, leads to the ""sensuous Hyle,''3 again hides, in fact, the 
",come activity leads sensuous hyle hides fact
8377,"elements of a sensualism over which Husser! never completely triumphed. This 
",elements sensualism husser never completely triumphed
8378,"explains how the corporeal thing, in its sensible appearance, becomes, for him, 
",explains corporeal thing sensible appearance becomes
8379,"the final substrate, and how the characters of signification are understood as 
",final substrate characters signification understood
8380,"products of intentional accomplishments founded in this sensibility, 
",products intentional accomplishments founded sensibility
8381,"interpreted in a sensualist manner. 
",interpreted sensualist manner
8382,"The phenomenologically verifiable core of this conception lies in the fact that 
",phenomenologically verifiable core conception lies fact
8383,"all experience is founded on self-givenness as sensuous presence in person 
",experience founded selfgivenness sensuous presence person
8384,"(sinnlichleibhaft), or that which is encountered. But the accomplishment of 
",sinnlichleibhaft encountered accomplishment
8385,"sensibility is not interpreted in a satisfactory way if the hyletic givens (The 
",sensibility interpreted satisfactory way hyletic givens
8386,"descendents of Humean impressions!) are conceived as their ultimate elements. 
",descendents humean impressions conceived ultimate elements
8387,"Here, again, is hidden a residue of the ""principle of dissociation,"" criticized by 
",hidden residue principle dissociation criticized
8388,"the partisans of Gestalt theory. It is only Erwin Straus and Merleau-Ponty4 
",partisans gestalt theory erwin straus merleauponty
8389,"who have, it seems to me, triumphed in a definitive way over this sensualism of 
",seems triumphed definitive way sensualism
8390,"phenomenology. 
",phenomenology
8391,"It is this difficulty which explains, as well, why the concept of the world is 
",difficulty explains well concept world
8392,"ambiguous in H usserl. On the one hand, the world is understood in a Kantian 
",ambiguous h usserl one hand world understood kantian
8393,"way, as the totality of appearances, for, after placing in parentheses the 
",way totality appearances placing parentheses
8394,"presupposition of the objective world in itself, Husserl treats the world as 
",presupposition objective world husserl treats world
8395,"meant world (vermeinte), that is to say, a world given for a consciousness, and 
",meant world vermeinte say world given consciousness
8396,"appearing in a consciousness. The world is here, thus, the idea of the ""et cetera"" 
",appearing consciousness world thus idea et cetera
8397,"of experience, in such a way that everything which is given for a consciousness, 
",experience way everything given consciousness
8398,"and which can be considered by it, must necessarily be thought as appearing in 
",considered must necessarily thought appearing
8399,"the unity of a consciousness and of its possible experience and, correlatively, 
",unity consciousness possible experience correlatively
8400,"in the unity of a world. From this point of view, a world is a concept that we 
",unity world point view world concept
8401,"achieve in thinking the belongingness of all individual being in a 
",achieve thinking belongingness individual
8402,"comprehensive unity. In this sense, a world is an absolute substrate, as 
",comprehensive unity sense world absolute substrate
8403,"everything which is encounterable, and is thinkable, can only be thought as a 
",everything encounterable thinkable thought
8404,"mundane existent and, in consequence, as non-independent in relation to that 
",mundane existent consequence nonindependent relation
8405,"comprehensive unity. 
",comprehensive unity
8406,"On the other hand, Husserl's analyses demonstrate that the world, as the 
",hand husserls analyses demonstrate world
8407,"horizon of all that is encountered in every experience of individual beings 
",horizon encountered every experience individual beings
